seed,rho,bootstrap_mean,bootstrap_var
8101,0.3,9.677238893518116,0.07320619092161937
8817,0.3,9.5715229150393,0.03215722467466195
1948,0.3,9.254484135605088,0.07399344182143631
5881,0.3,9.876101463464929,0.03727269286011031
6346,0.3,9.732823755974582,0.04791847549155214
285,0.3,9.496182105119113,0.0038110935430809116
4794,0.3,9.548710659838433,0.0790783589560981
5081,0.3,9.748302711526112,0.07918835500287427
2933,0.3,9.313692963329453,0.06950358489660498
8367,0.3,9.285841247922283,0.09350226576486323
6147,0.3,9.611713841850813,0.06062486065480965
2583,0.3,9.483232582923177,0.013415405621618456
7564,0.3,9.887939985457695,0.00703394124765184
7725,0.3,9.381396397122854,0.07676839854820408
1046,0.3,9.18081364777361,0.09634125515462488
5831,0.3,9.334973998343177,0.06189154187200521
2738,0.3,9.501455833803012,0.06709271557969436
3386,0.3,9.5941532877031,0.06391763183889744
278,0.3,9.497082823031588,0.0708895626620825
4552,0.3,9.100696354078684,0.03795590435500105
9990,0.3,9.735078925760371,0.00047234384677730215
3844,0.3,9.395449892333467,0.044933250100855165
5526,0.3,9.60788972200689,0.13856007289551261
7303,0.3,9.367903949436467,0.03758429807191132
3083,0.3,9.5556193223136,0.07247660830458263
8258,0.3,9.29756124404386,0.0750510753098859
7084,0.3,9.583279421577602,0.08379856645183796
683,0.3,9.538838092525076,0.03821344501983954
4020,0.3,9.464410777438623,0.08249395667943546
9192,0.3,9.49531997072449,0.07802597766346675
2662,0.3,9.503923461205538,0.060469525948647566
535,0.3,9.402515505790795,0.08139851906773099
1307,0.3,9.517981154311219,0.11146617955368558
3009,0.3,9.408272233558668,0.07328378881480953
8823,0.3,9.682959411052881,0.0702552321101687
9868,0.3,9.348460749282166,0.018054020284384686
7857,0.3,9.524107908170429,0.0621431492907143
118,0.3,9.700837944992102,0.09393191347298066
2483,0.3,9.63821820616909,0.0665085001936182
9607,0.3,9.772163816870492,0.07434659146953254
5811,0.3,9.310460492107858,0.06502295189627895
1771,0.3,9.445000711075597,0.03409945219896075
5667,0.3,10.13649965430632,0.05841090903964518
9684,0.3,9.520620992779362,0.0507756805141599
4080,0.3,9.876436807852105,0.05724490632387218
9833,0.3,9.144465305605836,0.06185789699535473
1316,0.3,9.44394750770828,0.06976635223318807
2895,0.3,9.61198128748212,0.07571099271937974
6695,0.3,9.709489463332865,0.08618528751614705
9428,0.3,9.62549733218297,0.04439062310387017
4260,0.3,9.467525502983008,0.08678726260823036
549,0.3,9.588636927021438,0.02290742751256966
7110,0.3,9.781062647271115,0.12929604532222472
5062,0.3,9.579596377033297,0.03611315217842388
6648,0.3,9.293512711949305,0.0798305930620386
5219,0.3,9.19494316752592,0.11051202182163627
8067,0.3,9.307048691179416,0.05581993947178303
4306,0.3,9.405284084433154,0.07320657183799445
5980,0.3,9.309831012702926,0.050055231728989576
5503,0.3,9.361920460000873,0.062457055251894246
6277,0.3,9.305242864633195,0.0465636023633866
6180,0.3,9.377507182413632,0.07281669518606831
4583,0.3,9.602402151485805,0.12544446400279585
5818,0.3,9.178091184092573,0.09822722543693603
9728,0.3,9.38839117364543,0.12297541319042354
9551,0.3,9.572684860617816,0.049153853678467876
7489,0.3,9.398765460847772,0.044249323493998884
8072,0.3,9.336854759636235,0.09894614410469503
3513,0.3,9.724367847578863,0.040934656634790824
2588,0.3,9.704755635980842,0.05272458173744309
5511,0.3,9.456082905851343,0.04397788325932264
