seed,rho,bootstrap_mean,bootstrap_var
2933,0.2,19.38688772430468,0.11756486476385883
8367,0.2,19.800697518722558,0.09363121603758331
6147,0.2,20.061596605177538,0.10987553933258963
2583,0.2,19.94884228007187,0.09657415699750188
7564,0.2,19.678994957054655,0.09536938794286344
7725,0.2,19.49645013090588,0.10840965839068004
1046,0.2,19.589669390850496,0.08887949117172032
5831,0.2,20.29547723218937,0.1157697717696462
2738,0.2,20.160372004124234,0.07094994361260099
3386,0.2,20.031281707867205,0.10199831542963243
278,0.2,20.014607985835532,0.09768404131659793
4552,0.2,20.029446607520075,0.11570289295000663
9990,0.2,20.003606557586536,0.08680341204118619
3844,0.2,19.982755069961506,0.10876342495796075
5526,0.2,19.462390313658812,0.10707244421735757
7303,0.2,19.904728101675435,0.09271851504478819
3083,0.2,20.30082814505696,0.08844995599410532
8258,0.2,19.713250128070595,0.10059007357632309
7084,0.2,20.09713999793494,0.10813652138982001
683,0.2,19.850840853852386,0.0990774592374341
4020,0.2,19.689977317555147,0.08918373694399988
9192,0.2,20.26390505335689,0.08183916548604943
2662,0.2,19.99173533372786,0.09327310787351065
535,0.2,20.031419808824694,0.08517358373162853
1307,0.2,19.688224171320766,0.08285201373022096
3009,0.2,19.85682839129677,0.0888644797979526
8823,0.2,20.206086968241035,0.09453411272446025
9868,0.2,20.019381356312955,0.0875907451999684
7857,0.2,20.148016043770777,0.12035219679073263
118,0.2,20.0687117070295,0.11739915054977716
2483,0.2,20.0207300500725,0.09760190391438288
9607,0.2,19.758719010479783,0.08829639018305022
5811,0.2,19.69530398253052,0.09199473192159148
1771,0.2,19.827141895567706,0.09661114662979492
5667,0.2,20.23701198567715,0.09086643835062752
9684,0.2,19.7199161917711,0.09250425562724388
4080,0.2,20.055509681216176,0.085107212348533
9833,0.2,19.43538818014594,0.09007655582556731
1316,0.2,19.693836363592624,0.08925546894058964
2895,0.2,19.938398593383194,0.10567227483672069
6695,0.2,20.36125551318051,0.09950467254903364
9428,0.2,19.94110222716097,0.0951827361048716
4260,0.2,20.322173337459585,0.07650316448579884
549,0.2,19.851634523087668,0.09963479017039598
7110,0.2,20.32878176129883,0.13047922500393735
5062,0.2,19.675462372047694,0.0748980656630002
6648,0.2,20.24222110633694,0.12887501033515072
5219,0.2,19.59624712906645,0.08435887468431785
8067,0.2,19.836238618513462,0.10135330384481463
4306,0.2,19.969537320427268,0.07538588188832526
5980,0.2,19.767573647121125,0.11614608080909497
5503,0.2,19.948034744050876,0.10537060764725291
6277,0.2,19.897426549959345,0.10045133843931951
6180,0.2,19.671723890627288,0.10775463186009386
4583,0.2,20.25455647163127,0.13798419044792895
5818,0.2,19.39941419165493,0.08069516523108135
9728,0.2,19.7490173647223,0.10400426679297707
9551,0.2,19.824432360492565,0.08672614807772072
7489,0.2,20.123139389369513,0.07141572648649035
8072,0.2,19.679409157591863,0.08903758896688937
3513,0.2,20.242383402080865,0.11548285221053986
2588,0.2,19.925552239404936,0.09424114395081298
5511,0.2,19.61582423556277,0.09892549573567798
